chrom	length	bases	mean	min	max
1	41732233	1224159511	29.33	0	25761
2	47849963	1177877486	24.62	0	25713
3	50382502	1178344710	23.39	0	27477
4	39677845	1082498458	27.28	0	27410
5	46702114	1225826635	26.25	0	25089
6	36371416	1014592857	27.90	0	29559
7	35460007	1229930861	34.69	0	26073
8	40988899	970086220	23.67	0	27681
9	56381885	2056277597	36.47	0	28964
ML552055	47661	203795	4.28	0	52
ML552056	46909	1105483	23.57	0	258
ML552057	40232	3102715	77.12	0	1456
ML552058	28202	3815655	135.30	0	2924
ML552059	21634	712885	32.95	0	1129
total	395731502	11168534868	28.22	0	29559
