chrom	length	bases	mean	min	max
1	41732233	1213077716	29.07	0	24208
2	47849963	1141550177	23.86	0	23867
3	50382502	1162766715	23.08	0	24864
4	39677845	1049947546	26.46	0	26124
5	46702114	1200483064	25.71	0	24406
6	36371416	1023348472	28.14	0	29233
7	35460007	1166643453	32.90	0	26022
8	40988899	964209911	23.52	0	25350
9	56381885	1983386010	35.18	0	27160
ML552055	47661	181247	3.80	0	36
ML552056	46909	1066286	22.73	0	240
ML552057	40232	3297263	81.96	0	1523
ML552058	28202	3150956	111.73	0	2400
ML552059	21634	760560	35.16	0	1195
total	395731502	10913869376	27.58	0	29233
