chrom	length	bases	mean	min	max
1	41732233	1099795186	26.35	0	25411
2	47849963	1027085389	21.46	0	25493
3	50382502	1025430972	20.35	0	27176
4	39677845	960699019	24.21	0	26200
5	46702114	1081903123	23.17	0	25560
6	36371416	892584664	24.54	0	33280
7	35460007	1023727309	28.87	0	25183
8	40988899	880594469	21.48	0	27805
9	56381885	1887355305	33.47	0	28982
ML552055	47661	76143	1.60	0	23
ML552056	46909	916689	19.54	0	191
ML552057	40232	2432262	60.46	0	1116
ML552058	28202	2189819	77.65	0	1694
ML552059	21634	578823	26.76	0	871
total	395731502	9885369172	24.98	0	33280
