chrom	length	bases	mean	min	max
1	41732233	1441998512	34.55	0	31496
2	47849963	1412938676	29.53	0	26876
3	50382502	1295852283	25.72	0	29342
4	39677845	1177509799	29.68	0	31334
5	46702114	1336121993	28.61	0	28891
6	36371416	1035319379	28.47	0	34359
7	35460007	1209026226	34.10	0	29116
8	40988899	1042220818	25.43	0	28607
9	56381885	2227131697	39.50	0	31308
ML552055	47661	38194	0.80	0	30
ML552056	46909	1209696	25.79	0	253
ML552057	40232	3939124	97.91	0	1885
ML552058	28202	2326328	82.49	0	1815
ML552059	21634	973133	44.98	0	1429
total	395731502	12186605858	30.80	0	34359
