chrom	length	bases	mean	min	max
1	41732233	1373836223	32.92	0	29201
2	47849963	1333030773	27.86	0	22907
3	50382502	1258982432	24.99	0	24770
4	39677845	1121859326	28.27	0	25842
5	46702114	1351285424	28.93	0	23233
6	36371416	1132933862	31.15	0	28139
7	35460007	1261544944	35.58	0	24878
8	40988899	975553973	23.80	0	24521
9	56381885	2133647655	37.84	0	26626
ML552055	47661	165580	3.47	0	39
ML552056	46909	843210	17.98	0	127
ML552057	40232	12501016	310.72	0	14428
ML552058	28202	3483234	123.51	0	2705
ML552059	21634	795876	36.79	0	1193
total	395731502	11960463528	30.22	0	29201
