chrom	length	bases	mean	min	max
1	41732233	1435547261	34.40	0	39927
2	47849963	1511647669	31.59	0	24940
3	50382502	1407460599	27.94	0	26556
4	39677845	1232828005	31.07	0	25507
5	46702114	1439233893	30.82	0	25471
6	36371416	1091438087	30.01	0	29589
7	35460007	1273017264	35.90	0	27515
8	40988899	1133583619	27.66	0	27077
9	56381885	2348001953	41.64	0	28529
ML552055	47661	61589	1.29	0	33
ML552056	46909	941418	20.07	0	132
ML552057	40232	22545033	560.38	0	27842
ML552058	28202	1867622	66.22	0	1387
ML552059	21634	1093398	50.54	0	1328
total	395731502	12899267410	32.60	0	39927
