chrom	length	bases	mean	min	max
1	41732233	1121046467	26.86	0	20683
2	47849963	1130843469	23.63	0	19292
3	50382502	1095630969	21.75	0	20601
4	39677845	972357588	24.51	0	20665
5	46702114	1120020332	23.98	0	19818
6	36371416	856426334	23.55	0	23584
7	35460007	1039948290	29.33	0	21630
8	40988899	882014461	21.52	0	21023
9	56381885	1789673365	31.74	0	22242
ML552055	47661	92669	1.94	0	32
ML552056	46909	993348	21.18	0	212
ML552057	40232	2654372	65.98	0	1245
ML552058	28202	1910700	67.75	0	1498
ML552059	21634	683686	31.60	0	1047
total	395731502	10014296050	25.31	0	23584
