chrom	length	bases	mean	min	max
1	41732233	1361020014	32.61	0	38559
2	47849963	1393698602	29.13	0	26993
3	50382502	1296466828	25.73	0	28280
4	39677845	1200890411	30.27	0	28505
5	46702114	1358460191	29.09	0	27388
6	36371416	1048259278	28.82	0	32609
7	35460007	1266614415	35.72	0	29184
8	40988899	1081935154	26.40	0	29122
9	56381885	2271517770	40.29	0	30547
ML552055	47661	1037122	21.76	0	77
ML552056	46909	784599	16.73	0	97
ML552057	40232	22051270	548.10	0	27113
ML552058	28202	2442201	86.60	0	1914
ML552059	21634	1079013	49.88	0	1315
total	395731502	12306256868	31.10	0	38559
