chrom	length	bases	mean	min	max
1	41732233	1226862846	29.40	0	32694
2	47849963	1353722636	28.29	0	24964
3	50382502	1336416159	26.53	0	19784
4	39677845	1073441116	27.05	0	20022
5	46702114	1234133423	26.43	0	21096
6	36371416	1038005038	28.54	0	40098
7	35460007	1248946410	35.22	0	24568
8	40988899	1029924736	25.13	0	20040
9	56381885	1910698653	33.89	0	21129
ML552055	47661	72038	1.51	0	22
ML552056	46909	740007	15.78	0	44
ML552057	40232	3726296	92.62	0	1770
ML552058	28202	2788394	98.87	0	2195
ML552059	21634	936204	43.27	0	1381
total	395731502	11460413956	28.96	0	40098
