chrom	length	bases	mean	min	max
1	41732233	1137442585	27.26	0	27585
2	47849963	1196309896	25.00	0	13081
3	50382502	1267214769	25.15	0	16470
4	39677845	1125824975	28.37	0	13490
5	46702114	1242055457	26.60	0	24154
6	36371416	960866402	26.42	0	35145
7	35460007	1172146124	33.06	0	26072
8	40988899	918452478	22.41	0	13790
9	56381885	1738825771	30.84	0	14990
ML552055	47661	72326	1.52	0	26
ML552056	46909	1045403	22.29	0	231
ML552057	40232	20479221	509.03	0	14518
ML552058	28202	2703110	95.85	0	2164
ML552059	21634	3726873	172.27	0	1609
total	395731502	10787165390	27.26	0	35145
