chrom	length	bases	mean	min	max
1	41732233	1500696941	35.96	0	24736
2	47849963	1460760693	30.53	0	19027
3	50382502	1443443593	28.65	0	20298
4	39677845	1290370415	32.52	0	19228
5	46702114	1548607512	33.16	0	27245
6	36371416	1237917828	34.04	0	22473
7	35460007	1563003720	44.08	0	34987
8	40988899	1149684278	28.05	0	20247
9	56381885	2226668706	39.49	0	21649
ML552055	47661	86459	1.81	0	31
ML552056	46909	871423	18.58	0	47
ML552057	40232	7380450	183.45	0	2579
ML552058	28202	5747947	203.81	0	4637
ML552059	21634	1059799	48.99	0	1030
total	395731502	13436299764	33.95	0	34987
