chrom	length	bases	mean	min	max
1	41732233	1147574978	27.50	0	27752
2	47849963	1166182089	24.37	0	19002
3	50382502	1106741447	21.97	0	14251
4	39677845	954651389	24.06	0	13744
5	46702114	1098709937	23.53	0	14428
6	36371416	983716168	27.05	0	16517
7	35460007	1142830173	32.23	0	21211
8	40988899	918606982	22.41	0	14686
9	56381885	1663163987	29.50	0	15772
ML552055	47661	870394	18.26	0	57
ML552056	46909	694176	14.80	0	46
ML552057	40232	12755861	317.06	0	19586
ML552058	28202	4391090	155.70	0	3200
ML552059	21634	8886	0.41	0	19
total	395731502	10200897557	25.78	0	27752
