chrom	length	bases	mean	min	max
1	41732233	1400478124	33.56	0	30897
2	47849963	1405363550	29.37	0	16537
3	50382502	1461765685	29.01	0	17141
4	39677845	1169844728	29.48	0	16523
5	46702114	1350480450	28.92	0	18787
6	36371416	1153664689	31.72	0	20332
7	35460007	1282457916	36.17	0	18220
8	40988899	1105546756	26.97	0	17899
9	56381885	2033757594	36.07	0	19169
ML552055	47661	52684	1.11	0	26
ML552056	46909	836813	17.84	0	50
ML552057	40232	15552380	386.57	0	21640
ML552058	28202	3071188	108.90	0	2491
ML552059	21634	14183	0.66	0	28
total	395731502	12382886740	31.29	0	30897
