chrom	length	bases	mean	min	max
1	41732233	1007483665	24.14	0	17539
2	47849963	972794237	20.33	0	16583
3	50382502	1054060261	20.92	0	17413
4	39677845	876513132	22.09	0	18647
5	46702114	1018885269	21.82	0	17117
6	36371416	837625833	23.03	0	21662
7	35460007	977952235	27.58	0	18171
8	40988899	740947593	18.08	0	18005
9	56381885	1592703972	28.25	0	19832
ML552055	47661	42650	0.89	0	21
ML552056	46909	818521	17.45	0	201
ML552057	40232	7823727	194.47	0	5729
ML552058	28202	3233063	114.64	0	2593
ML552059	21634	735780	34.01	0	663
total	395731502	9091619938	22.97	0	21662
