chrom	length	bases	mean	min	max
1	41732233	1237536474	29.65	0	29279
2	47849963	1209068647	25.27	0	23020
3	50382502	1236842485	24.55	0	23315
4	39677845	1113146516	28.05	0	24188
5	46702114	1260549938	26.99	0	23625
6	36371416	995439712	27.37	0	27663
7	35460007	1217251937	34.33	0	28565
8	40988899	1015811548	24.78	0	24236
9	56381885	2033033709	36.06	0	26367
ML552055	47661	97492	2.05	0	33
ML552056	46909	1103047	23.51	0	225
ML552057	40232	4254209	105.74	0	1940
ML552058	28202	3063570	108.63	0	2207
ML552059	21634	976916	45.16	0	1406
total	395731502	11328176200	28.63	0	29279
