chrom	length	bases	mean	min	max
1	41732233	1274115889	30.53	0	30088
2	47849963	1249063842	26.10	0	24477
3	50382502	1223084143	24.28	0	24214
4	39677845	1134140308	28.58	0	25017
5	46702114	1297506375	27.78	0	38753
6	36371416	986159259	27.11	0	28549
7	35460007	1194065285	33.67	0	28787
8	40988899	1015203929	24.77	0	25307
9	56381885	2078674950	36.87	0	27994
ML552055	47661	263081	5.52	0	56
ML552056	46909	639453	13.63	0	98
ML552057	40232	7009274	174.22	0	8670
ML552058	28202	1978957	70.17	0	1421
ML552059	21634	1040909	48.11	0	1443
total	395731502	11462945654	28.97	0	38753
