chrom	length	bases	mean	min	max
1	41732233	743947297	17.83	0	29399
2	47849963	722060160	15.09	0	14434
3	50382502	733856412	14.57	0	14196
4	39677845	665756104	16.78	0	16003
5	46702114	760116492	16.28	0	20155
6	36371416	653698189	17.97	0	26292
7	35460007	750391022	21.16	0	14778
8	40988899	619283757	15.11	0	15273
9	56381885	1222812094	21.69	0	17043
ML552055	47661	63780	1.34	0	24
ML552056	46909	663767	14.15	0	144
ML552057	40232	5717883	142.12	0	5821
ML552058	28202	2728723	96.76	0	1897
ML552059	21634	597124	27.60	0	811
total	395731502	6881692804	17.39	0	29399
