chrom	length	bases	mean	min	max
1	41732233	1164331529	27.90	0	28508
2	47849963	1139736997	23.82	0	21006
3	50382502	1153687061	22.90	0	21253
4	39677845	1040012995	26.21	0	22129
5	46702114	1185649167	25.39	0	25727
6	36371416	993525238	27.32	0	25253
7	35460007	1271217927	35.85	0	39456
8	40988899	910508872	22.21	0	21852
9	56381885	1897814835	33.66	0	24426
ML552055	47661	159908	3.36	0	33
ML552056	46909	772318	16.46	0	79
ML552057	40232	11943364	296.86	0	14402
ML552058	28202	4118736	146.04	0	3141
ML552059	21634	857128	39.62	0	1319
total	395731502	10774336075	27.23	0	39456
