chrom	length	bases	mean	min	max
1	41732233	993269633	23.80	0	27596
2	47849963	983258964	20.55	0	18859
3	50382502	927041117	18.40	0	18982
4	39677845	813795856	20.51	0	17992
5	46702114	927163067	19.85	0	18931
6	36371416	855565216	23.52	0	22136
7	35460007	884275077	24.94	0	19527
8	40988899	743835315	18.15	0	19427
9	56381885	1536606312	27.25	0	21295
ML552055	47661	52552	1.10	0	18
ML552056	46909	803947	17.14	0	163
ML552057	40232	2763390	68.69	0	1419
ML552058	28202	2173780	77.08	0	1699
ML552059	21634	713346	32.97	0	1049
total	395731502	8671317572	21.91	0	27596
