chrom	length	bases	mean	min	max
1	41732233	1046155029	25.07	0	28095
2	47849963	1086500364	22.71	0	8826
3	50382502	1116421438	22.16	0	14643
4	39677845	918302923	23.14	0	8368
5	46702114	1080209351	23.13	0	19378
6	36371416	989978539	27.22	0	10353
7	35460007	1135607074	32.03	0	29472
8	40988899	909600601	22.19	0	9446
9	56381885	1482294272	26.29	0	10411
ML552055	47661	77479	1.63	0	30
ML552056	46909	355011	7.57	0	59
ML552057	40232	3269127	81.26	0	1715
ML552058	28202	3982384	141.21	0	3178
ML552059	21634	915379	42.31	0	1400
total	395731502	9773668971	24.70	0	29472
