chrom	length	bases	mean	min	max
1	41732233	1435845920	34.41	0	30454
2	47849963	1464131739	30.60	0	12309
3	50382502	1478812985	29.35	0	15243
4	39677845	1251420154	31.54	0	12893
5	46702114	1496819882	32.05	0	28755
6	36371416	1246057468	34.26	0	46489
7	35460007	1382323343	38.98	0	30210
8	40988899	1245438237	30.38	0	13259
9	56381885	2044878280	36.27	0	14140
ML552055	47661	95937	2.01	0	28
ML552056	46909	937419	19.98	0	139
ML552057	40232	14976317	372.25	0	21897
ML552058	28202	2588906	91.80	0	2034
ML552059	21634	1071149	49.51	0	1622
total	395731502	13065397736	33.02	0	46489
