chrom	length	bases	mean	min	max
1	41732233	1021751328	24.48	0	29021
2	47849963	1005827626	21.02	0	7014
3	50382502	1022526990	20.30	0	7468
4	39677845	852512441	21.49	0	7213
5	46702114	1050672514	22.50	0	34118
6	36371416	791021844	21.75	0	10825
7	35460007	949770877	26.78	0	14294
8	40988899	814023121	19.86	0	7808
9	56381885	1362102088	24.16	0	8451
ML552055	47661	167615	3.52	0	44
ML552056	46909	518498	11.05	0	56
ML552057	40232	2147455	53.38	0	1321
ML552058	28202	2592237	91.92	0	2027
ML552059	21634	309288	14.30	0	393
total	395731502	8875943922	22.43	0	34118
