chrom	length	bases	mean	min	max
1	41732233	1197571802	28.70	0	25706
2	47849963	1206906613	25.22	0	14552
3	50382502	1230931863	24.43	0	14647
4	39677845	1057801025	26.66	0	15307
5	46702114	1244305923	26.64	0	21571
6	36371416	950045174	26.12	0	17766
7	35460007	1183020353	33.36	0	26315
8	40988899	984809339	24.03	0	15538
9	56381885	1803681529	31.99	0	16248
ML552055	47661	196107	4.11	0	38
ML552056	46909	1101320	23.48	0	209
ML552057	40232	3582560	89.05	0	1682
ML552058	28202	2764165	98.01	0	2235
ML552059	21634	880554	40.70	0	1290
total	395731502	10867598327	27.46	0	26315
