chrom	length	bases	mean	min	max
1	41732233	1319994563	31.63	0	26879
2	47849963	1431836330	29.92	0	17996
3	50382502	1348500435	26.77	0	13745
4	39677845	1148401287	28.94	0	14156
5	46702114	1358032882	29.08	0	21157
6	36371416	1058085468	29.09	0	16550
7	35460007	1376141478	38.81	0	26370
8	40988899	1137864203	27.76	0	14462
9	56381885	1922063557	34.09	0	15324
ML552055	47661	106583	2.24	0	42
ML552056	46909	1239371	26.42	0	262
ML552057	40232	3933573	97.77	0	1767
ML552058	28202	4559802	161.68	0	3545
ML552059	21634	914689	42.28	0	1347
total	395731502	12111674221	30.61	0	26879
