chrom	length	bases	mean	min	max
1	41732233	1384508287	33.18	0	28962
2	47849963	1417302541	29.62	0	16739
3	50382502	1402460672	27.84	0	14687
4	39677845	1211301692	30.53	0	14025
5	46702114	1466032654	31.39	0	27526
6	36371416	1090343638	29.98	0	16644
7	35460007	1282917612	36.18	0	15268
8	40988899	1052455787	25.68	0	14980
9	56381885	1976961786	35.06	0	16109
ML552055	47661	293863	6.17	0	77
ML552056	46909	644652	13.74	0	116
ML552057	40232	19170984	476.51	0	12189
ML552058	28202	2830321	100.36	0	2240
ML552059	21634	10337993	477.86	0	2297
total	395731502	12317562482	31.13	0	28962
