chrom	length	bases	mean	min	max
1	41732233	1149554515	27.55	0	25325
2	47849963	1278540082	26.72	0	25418
3	50382502	1208712479	23.99	0	13267
4	39677845	1016001415	25.61	0	11534
5	46702114	1185811045	25.39	0	18848
6	36371416	885276193	24.34	0	14145
7	35460007	1149692342	32.42	0	32486
8	40988899	937787077	22.88	0	11154
9	56381885	1656959420	29.39	0	12210
ML552055	47661	91745	1.92	0	27
ML552056	46909	814693	17.37	0	88
ML552057	40232	10813980	268.79	0	13230
ML552058	28202	2296469	81.43	0	1765
ML552059	21634	867601	40.10	0	1320
total	395731502	10483219056	26.49	0	32486
