chrom	length	bases	mean	min	max
1	41732233	1730509359	41.47	0	33904
2	47849963	1697209329	35.47	0	25698
3	50382502	1690458073	33.55	0	27013
4	39677845	1497831012	37.75	0	27654
5	46702114	1742384446	37.31	0	36352
6	36371416	1350589538	37.13	0	32392
7	35460007	1719569915	48.49	0	32704
8	40988899	1373964979	33.52	0	27154
9	56381885	2654784092	47.09	0	28767
ML552055	47661	678545	14.24	0	95
ML552056	46909	1199768	25.58	0	136
ML552057	40232	3924544	97.55	0	2216
ML552058	28202	5030529	178.37	0	3885
ML552059	21634	1213970	56.11	0	1744
total	395731502	15469348099	39.09	0	36352
