chrom	length	bases	mean	min	max
1	41732233	1212864580	29.06	0	27382
2	47849963	1188121021	24.83	0	16456
3	50382502	1242002951	24.65	0	17056
4	39677845	1057510181	26.65	0	19310
5	46702114	1235674433	26.46	0	23983
6	36371416	1029970924	28.32	0	32981
7	35460007	1231932304	34.74	0	37875
8	40988899	968672167	23.63	0	17767
9	56381885	1836885603	32.58	0	18999
ML552055	47661	217712	4.57	0	54
ML552056	46909	1074864	22.91	0	202
ML552057	40232	3777825	93.90	0	1646
ML552058	28202	3136050	111.20	0	2504
ML552059	21634	772076	35.69	0	1197
total	395731502	11012612691	27.83	0	37875
