chrom	length	bases	mean	min	max
1	41732233	1362162527	32.64	0	28454
2	47849963	1308960864	27.36	0	23725
3	50382502	1327291769	26.34	0	24454
4	39677845	1193649455	30.08	0	26007
5	46702114	1366251616	29.25	0	24533
6	36371416	1118343293	30.75	0	29144
7	35460007	1422893235	40.13	0	25537
8	40988899	1137481184	27.75	0	25263
9	56381885	2182850176	38.72	0	26934
ML552055	47661	114877	2.41	0	38
ML552056	46909	856478	18.26	0	103
ML552057	40232	13545328	336.68	0	19376
ML552058	28202	4675640	165.79	0	3809
ML552059	21634	986924	45.62	0	1560
total	395731502	12440063366	31.44	0	29144
