chrom	length	bases	mean	min	max
1	41732233	1154654849	27.67	0	19963
2	47849963	1196026671	25.00	0	25527
3	50382502	1231043060	24.43	0	19782
4	39677845	1048831445	26.43	0	21596
5	46702114	1177483473	25.21	0	19712
6	36371416	971073350	26.70	0	22682
7	35460007	1149510804	32.42	0	20101
8	40988899	1042703966	25.44	0	20380
9	56381885	1860052095	32.99	0	21355
ML552055	47661	814413	17.09	0	41
ML552056	46909	747634	15.94	0	49
ML552057	40232	7103564	176.57	0	2332
ML552058	28202	2623963	93.04	0	2059
ML552059	21634	3585605	165.74	0	1671
total	395731502	10846254892	27.41	0	25527
