chrom	length	bases	mean	min	max
1	41732233	1157195310	27.73	0	26183
2	47849963	1115593818	23.31	0	24673
3	50382502	1125218033	22.33	0	25030
4	39677845	1042926218	26.28	0	26460
5	46702114	1178289489	25.23	0	24464
6	36371416	998119620	27.44	0	39664
7	35460007	1089799175	30.73	0	25289
8	40988899	970125104	23.67	0	25636
9	56381885	1962702969	34.81	0	27815
ML552055	47661	74129	1.56	0	28
ML552056	46909	703789	15.00	0	96
ML552057	40232	11292858	280.69	0	16388
ML552058	28202	1443796	51.19	0	1107
ML552059	21634	763130	35.27	0	1136
total	395731502	10654247438	26.92	0	39664
