chrom	length	bases	mean	min	max
1	41732233	2208080226	52.91	0	20476
2	47849963	2003377992	41.87	0	21110
3	50382502	1966555545	39.03	0	15853
4	39677845	1707288179	43.03	0	12129
5	46702114	2099959406	44.96	0	26301
6	36371416	1422358418	39.11	0	15267
7	35460007	1970528706	55.57	0	37211
8	40988899	1433612280	34.98	0	7779
9	56381885	2430913664	43.12	0	8736
ML552055	47661	1077266	22.60	0	70
ML552056	46909	948361	20.22	0	163
ML552057	40232	12077291	300.19	0	7702
ML552058	28202	3672642	130.23	0	2139
ML552059	21634	1172496	54.20	0	957
total	395731502	17261622472	43.62	0	37211
