chrom	length	bases	mean	min	max
1	41732233	2515171130	60.27	0	30172
2	47849963	2206350038	46.11	0	6122
3	50382502	2304331660	45.74	0	14304
4	39677845	1820136499	45.87	0	6766
5	46702114	2303306774	49.32	0	31326
6	36371416	1797600217	49.42	0	39046
7	35460007	2144584023	60.48	0	42032
8	40988899	1724649335	42.08	0	14862
9	56381885	2815654031	49.94	0	12444
ML552055	47661	958770	20.12	0	109
ML552056	46909	2000274	42.64	0	362
ML552057	40232	11831119	294.07	0	5881
ML552058	28202	3408520	120.86	0	1881
ML552059	21634	1218899	56.34	0	1553
total	395731502	19651201289	49.66	0	42032
