chrom	length	bases	mean	min	max
1	41732233	1405050282	33.67	0	28087
2	47849963	1566166144	32.73	0	27199
3	50382502	1488001446	29.53	0	10119
4	39677845	1232838191	31.07	0	8894
5	46702114	1509467879	32.32	0	33310
6	36371416	1157729703	31.83	0	13865
7	35460007	1444281030	40.73	0	28375
8	40988899	1223497917	29.85	0	13653
9	56381885	1936651001	34.35	0	10199
ML552055	47661	1274596	26.74	0	87
ML552056	46909	1412657	30.11	0	244
ML552057	40232	5711486	141.96	0	2430
ML552058	28202	3162815	112.15	0	2070
ML552059	21634	1331440	61.54	0	1690
total	395731502	12976576587	32.79	0	33310
