chrom	length	bases	mean	min	max
1	41732233	1801981162	43.18	0	29564
2	47849963	1731198411	36.18	0	3191
3	50382502	1754881064	34.83	0	11264
4	39677845	1402157991	35.34	0	3412
5	46702114	1771069589	37.92	0	26906
6	36371416	1409751082	38.76	0	28154
7	35460007	1978185860	55.79	0	29998
8	40988899	1455353174	35.51	0	8049
9	56381885	2211157416	39.22	0	9386
ML552055	47661	196151	4.12	0	78
ML552056	46909	1245133	26.54	0	131
ML552057	40232	8617160	214.19	0	3581
ML552058	28202	8804482	312.19	0	5304
ML552059	21634	1113167	51.45	0	1431
total	395731502	15535711842	39.26	0	29998
