chrom	length	bases	mean	min	max
1	41732233	1553373199	37.22	0	26361
2	47849963	1736550936	36.29	0	27176
3	50382502	1664159572	33.03	0	13851
4	39677845	1340975874	33.80	0	9642
5	46702114	1665935248	35.67	0	24700
6	36371416	1320290221	36.30	0	18079
7	35460007	1786387706	50.38	0	28762
8	40988899	1321957613	32.25	0	9586
9	56381885	2151392743	38.16	0	9442
ML552055	47661	235130	4.93	0	50
ML552056	46909	1133471	24.16	0	108
ML552057	40232	10880428	270.44	0	8416
ML552058	28202	5365018	190.24	0	3450
ML552059	21634	1272376	58.81	0	1502
total	395731502	14559909535	36.79	0	28762
