chrom	length	bases	mean	min	max
1	41732233	1861670812	44.61	0	26204
2	47849963	1645380066	34.39	0	4388
3	50382502	1668380442	33.11	0	13963
4	39677845	1370448156	34.54	0	4648
5	46702114	1693090416	36.25	0	26476
6	36371416	1352188871	37.18	0	40393
7	35460007	1658363895	46.77	0	28055
8	40988899	1279471024	31.22	0	22894
9	56381885	2092731483	37.12	0	8360
ML552055	47661	226697	4.76	0	41
ML552056	46909	1089234	23.22	0	134
ML552057	40232	7226126	179.61	0	3328
ML552058	28202	3524369	124.97	0	2327
ML552059	21634	1001537	46.29	0	1271
total	395731502	14634793128	36.98	0	40393
