chrom	length	bases	mean	min	max
1	41732233	1993526861	47.77	0	29647
2	47849963	1908263367	39.88	0	4630
3	50382502	1933067412	38.37	0	13785
4	39677845	1559040821	39.29	0	5666
5	46702114	1939608103	41.53	0	38251
6	36371416	1448908890	39.84	0	16730
7	35460007	1842149268	51.95	0	31342
8	40988899	1497846659	36.54	0	15518
9	56381885	2384119488	42.29	0	10739
ML552055	47661	329367	6.91	0	76
ML552056	46909	1125633	24.00	0	204
ML552057	40232	5853743	145.50	0	2386
ML552058	28202	3658061	129.71	0	2347
ML552059	21634	1109735	51.30	0	1501
total	395731502	16518607408	41.74	0	38251
