chrom	length	bases	mean	min	max
1	41732233	2620706243	62.80	0	35248
2	47849963	2321598447	48.52	0	5679
3	50382502	2380329916	47.25	0	24872
4	39677845	1900948623	47.91	0	5686
5	46702114	2422121505	51.86	0	33108
6	36371416	2040410222	56.10	0	17385
7	35460007	2367403735	66.76	0	26326
8	40988899	1834118853	44.75	0	12083
9	56381885	2935566389	52.07	0	12704
ML552055	47661	408188	8.56	0	80
ML552056	46909	1408275	30.02	0	175
ML552057	40232	17994122	447.26	0	11624
ML552058	28202	5945598	210.82	0	3923
ML552059	21634	1446749	66.87	0	1817
total	395731502	20850406865	52.69	0	35248
