chrom	length	bases	mean	min	max
1	41732233	1891535021	45.33	0	14108
2	47849963	1747574976	36.52	0	6763
3	50382502	1717643737	34.09	0	11838
4	39677845	1496788795	37.72	0	4673
5	46702114	1789410849	38.32	0	28191
6	36371416	1292205951	35.53	0	13688
7	35460007	1957343968	55.20	0	40734
8	40988899	1307250555	31.89	0	8504
9	56381885	2179848813	38.66	0	7685
ML552055	47661	132458	2.78	0	43
ML552056	46909	1222414	26.06	0	166
ML552057	40232	14407372	358.11	0	15516
ML552058	28202	5544623	196.60	0	3781
ML552059	21634	1009831	46.68	0	845
total	395731502	15401919363	38.92	0	40734
