chrom	length	bases	mean	min	max
1	41732233	2029699524	48.64	0	19621
2	47849963	1878171800	39.25	0	6582
3	50382502	1843451749	36.59	0	13189
4	39677845	1629188240	41.06	0	4780
5	46702114	1966259215	42.10	0	31119
6	36371416	1448176036	39.82	0	14145
7	35460007	2209320792	62.30	0	30097
8	40988899	1439171503	35.11	0	8692
9	56381885	2377758598	42.17	0	9910
ML552055	47661	386064	8.10	0	80
ML552056	46909	1270396	27.08	0	160
ML552057	40232	4169185	103.63	0	4348
ML552058	28202	8396590	297.73	0	5901
ML552059	21634	202500	9.36	0	229
total	395731502	16835622192	42.54	0	31119
