chrom	length	bases	mean	min	max
1	41732233	1242699081	29.78	0	18796
2	47849963	1113078337	23.26	0	8642
3	50382502	1109646918	22.02	0	10105
4	39677845	930665848	23.46	0	7061
5	46702114	1143002285	24.47	0	16700
6	36371416	895694486	24.63	0	7309
7	35460007	1067688837	30.11	0	22887
8	40988899	834020653	20.35	0	5276
9	56381885	1396680976	24.77	0	7503
ML552055	47661	119591	2.51	0	22
ML552056	46909	523371	11.16	0	77
ML552057	40232	6728957	167.25	0	3621
ML552058	28202	2505893	88.86	0	1556
ML552059	21634	714486	33.03	0	637
total	395731502	9743769719	24.62	0	22887
