chrom	length	bases	mean	min	max
1	41732233	1733254746	41.53	0	30869
2	47849963	1600355255	33.45	0	9097
3	50382502	1627996882	32.31	0	9508
4	39677845	1305541039	32.90	0	3992
5	46702114	1700996657	36.42	0	35394
6	36371416	1202972014	33.07	0	10830
7	35460007	1592058628	44.90	0	38728
8	40988899	1239291622	30.23	0	8428
9	56381885	1967460169	34.90	0	10178
ML552055	47661	112301	2.36	0	42
ML552056	46909	929302	19.81	0	114
ML552057	40232	9848872	244.80	0	7235
ML552058	28202	2668650	94.63	0	1726
ML552059	21634	978688	45.24	0	1245
total	395731502	13984464825	35.34	0	38728
