chrom	length	bases	mean	min	max
1	41732233	2028068629	48.60	0	18380
2	47849963	1863357495	38.94	0	7581
3	50382502	2043264032	40.56	0	19269
4	39677845	1590799295	40.09	0	8347
5	46702114	1903533727	40.76	0	30924
6	36371416	1412726157	38.84	0	11663
7	35460007	1959500959	55.26	0	28309
8	40988899	1450238009	35.38	0	17495
9	56381885	2314072093	41.04	0	9970
ML552055	47661	295599	6.20	0	68
ML552056	46909	1274662	27.17	0	149
ML552057	40232	8343431	207.38	0	8196
ML552058	28202	5679254	201.38	0	3453
ML552059	21634	188035	8.69	0	233
total	395731502	16581341377	41.90	0	30924
