chrom	length	bases	mean	min	max
1	41732233	1953401209	46.81	0	27897
2	47849963	1805912538	37.74	0	4384
3	50382502	1824552321	36.21	0	16732
4	39677845	1482240956	37.36	0	4642
5	46702114	1848922529	39.59	0	30723
6	36371416	1500967989	41.27	0	44288
7	35460007	1803409771	50.86	0	29842
8	40988899	1505045951	36.72	0	14205
9	56381885	2254899006	39.99	0	11919
ML552055	47661	121905	2.56	0	41
ML552056	46909	1150503	24.53	0	159
ML552057	40232	17007870	422.74	0	19587
ML552058	28202	3632661	128.81	0	2621
ML552059	21634	1147132	53.02	0	1429
total	395731502	16002412341	40.44	0	44288
