chrom	length	bases	mean	min	max
1	41732233	1784244999	42.75	0	28573
2	47849963	1681528270	35.14	0	29186
3	50382502	1589387803	31.55	0	11661
4	39677845	1249934588	31.50	0	3824
5	46702114	1558977814	33.38	0	24469
6	36371416	1394565279	38.34	0	10844
7	35460007	1593340905	44.93	0	17163
8	40988899	1220605146	29.78	0	6552
9	56381885	1920669721	34.07	0	6255
ML552055	47661	108797	2.28	0	32
ML552056	46909	891584	19.01	0	77
ML552057	40232	8920210	221.72	0	7068
ML552058	28202	4053206	143.72	0	2831
ML552059	21634	984518	45.51	0	1210
total	395731502	14008212840	35.40	0	29186
