chrom	length	bases	mean	min	max
1	41732233	2017848438	48.35	0	18677
2	47849963	1893374104	39.57	0	12514
3	50382502	1934270515	38.39	0	15570
4	39677845	1608538794	40.54	0	5257
5	46702114	1894036207	40.56	0	16800
6	36371416	1499431988	41.23	0	30567
7	35460007	1770936300	49.94	0	38889
8	40988899	1491864763	36.40	0	24010
9	56381885	2339882443	41.50	0	13811
ML552055	47661	118485	2.49	0	36
ML552056	46909	1438010	30.66	0	238
ML552057	40232	4373278	108.70	0	1436
ML552058	28202	2994877	106.19	0	1931
ML552059	21634	945827	43.72	0	783
total	395731502	16460054029	41.59	0	38889
