chrom	length	bases	mean	min	max
1	41732233	980081694	23.49	0	34093
2	47849963	1096675141	22.92	0	24538
3	50382502	1015476319	20.16	0	10886
4	39677845	835821437	21.07	0	5718
5	46702114	1057831999	22.65	0	12918
6	36371416	856528719	23.55	0	7272
7	35460007	1156392417	32.61	0	17236
8	40988899	844194740	20.60	0	5797
9	56381885	1353192871	24.00	0	7867
ML552055	47661	76234	1.60	0	25
ML552056	46909	1001513	21.35	0	168
ML552057	40232	20888196	519.19	0	16888
ML552058	28202	4423883	156.86	0	3169
ML552059	21634	1102183	50.95	0	1047
total	395731502	9223687346	23.31	0	34093
