chrom	length	bases	mean	min	max
1	41732233	1922239578	46.06	0	25251
2	47849963	1785279468	37.31	0	12558
3	50382502	1711024144	33.96	0	13927
4	39677845	1471064266	37.08	0	10673
5	46702114	1692418492	36.24	0	25918
6	36371416	1267726810	34.86	0	14261
7	35460007	1666203363	46.99	0	26670
8	40988899	1344725499	32.81	0	5850
9	56381885	2147723425	38.09	0	7905
ML552055	47661	81001	1.70	0	38
ML552056	46909	1195032	25.48	0	125
ML552057	40232	14398002	357.87	0	9527
ML552058	28202	3860781	136.90	0	2768
ML552059	21634	1050941	48.58	0	873
total	395731502	15028990802	37.98	0	26670
