chrom	length	bases	mean	min	max
1	41732233	1639801066	39.29	0	28023
2	47849963	1472013577	30.76	0	10491
3	50382502	1534253822	30.45	0	25811
4	39677845	1195350144	30.13	0	4367
5	46702114	1591941266	34.09	0	30127
6	36371416	1220051160	33.54	0	43219
7	35460007	1523152836	42.95	0	48109
8	40988899	1160547882	28.31	0	14592
9	56381885	1853266352	32.87	0	6712
ML552055	47661	245262	5.15	0	55
ML552056	46909	1151438	24.55	0	181
ML552057	40232	11015612	273.80	0	6790
ML552058	28202	3590895	127.33	0	1828
ML552059	21634	957307	44.25	0	1372
total	395731502	13207338619	33.37	0	48109
