chrom	length	bases	mean	min	max
1	41732233	2268438532	54.36	0	31020
2	47849963	2470267980	51.63	0	38878
3	50382502	2507861971	49.78	0	19589
4	39677845	1917336230	48.32	0	20283
5	46702114	2313074299	49.53	0	22687
6	36371416	1976274104	54.34	0	21900
7	35460007	2023973960	57.08	0	17223
8	40988899	1790581332	43.68	0	17427
9	56381885	3163283878	56.10	0	20099
ML552055	47661	78062	1.64	0	36
ML552056	46909	1395371	29.75	0	153
ML552057	40232	18304208	454.97	0	19457
ML552058	28202	4314197	152.97	0	2758
ML552059	21634	42128	1.95	0	63
total	395731502	20455226252	51.69	0	38878
