chrom	length	bases	mean	min	max
1	41732233	1793823188	42.98	0	25542
2	47849963	1887399802	39.44	0	33061
3	50382502	1868137492	37.08	0	26049
4	39677845	1556514028	39.23	0	26466
5	46702114	1848667441	39.58	0	45752
6	36371416	1346548623	37.02	0	28405
7	35460007	1675328979	47.25	0	31034
8	40988899	1297892639	31.66	0	27024
9	56381885	2763844133	49.02	0	29995
ML552055	47661	129127	2.71	0	51
ML552056	46909	876784	18.69	0	188
ML552057	40232	12496480	310.61	0	10961
ML552058	28202	3455675	122.53	0	2522
ML552059	21634	1040052	48.07	0	902
total	395731502	16056154443	40.57	0	45752
