chrom	length	bases	mean	min	max
1	41732233	2344008252	56.17	0	36879
2	47849963	2410654482	50.38	0	31816
3	50382502	2408645887	47.81	0	34032
4	39677845	2027996687	51.11	0	30194
5	46702114	2440335703	52.25	0	44354
6	36371416	1818212107	49.99	0	29497
7	35460007	2210701236	62.34	0	50324
8	40988899	1910949125	46.62	0	33780
9	56381885	3400376444	60.31	0	34716
ML552055	47661	427388	8.97	0	148
ML552056	46909	1860676	39.67	0	441
ML552057	40232	18672220	464.11	0	27213
ML552058	28202	3696404	131.07	0	2639
ML552059	21634	1891986	87.45	0	2550
total	395731502	20998428597	53.06	0	50324
