chrom	length	bases	mean	min	max
1	41732233	1403631791	33.63	0	28695
2	47849963	1378687143	28.81	0	18173
3	50382502	1385198816	27.49	0	18694
4	39677845	1220823469	30.77	0	18342
5	46702114	1429987285	30.62	0	25391
6	36371416	1155474400	31.77	0	26307
7	35460007	1366250352	38.53	0	35183
8	40988899	1164101615	28.40	0	19850
9	56381885	2119340440	37.59	0	20544
ML552055	47661	104495	2.19	0	31
ML552056	46909	915577	19.52	0	127
ML552057	40232	9769188	242.82	0	12027
ML552058	28202	2971924	105.38	0	2450
ML552059	21634	960042	44.38	0	1482
total	395731502	12638216537	31.94	0	35183
