chrom	length	bases	mean	min	max
1	41732233	1640924283	39.32	0	36034
2	47849963	1613531298	33.72	0	23741
3	50382502	1633288211	32.42	0	24560
4	39677845	1448491590	36.51	0	25291
5	46702114	1683832750	36.05	0	29767
6	36371416	1375254814	37.81	0	41550
7	35460007	1577777472	44.49	0	42199
8	40988899	1354577017	33.05	0	25474
9	56381885	2561605373	45.43	0	27055
ML552055	47661	705358	14.80	0	82
ML552056	46909	1500761	31.99	0	273
ML552057	40232	5311924	132.03	0	2352
ML552058	28202	2964124	105.10	0	2299
ML552059	21634	1169137	54.04	0	1781
total	395731502	14900934112	37.65	0	42199
