chrom	length	bases	mean	min	max
1	41732233	1635030719	39.18	0	35627
2	47849963	1671824595	34.94	0	17456
3	50382502	1702203248	33.79	0	19349
4	39677845	1411842211	35.58	0	19598
5	46702114	1718765367	36.80	0	25743
6	36371416	1365286394	37.54	0	25568
7	35460007	1520268522	42.87	0	20313
8	40988899	1355135680	33.06	0	18545
9	56381885	2450707938	43.47	0	19979
ML552055	47661	307922	6.46	0	67
ML552056	46909	1506140	32.11	0	293
ML552057	40232	8223336	204.40	0	6709
ML552058	28202	2231995	79.14	0	1744
ML552059	21634	886076	40.96	0	1338
total	395731502	14844220143	37.51	0	35627
