chrom	length	bases	mean	min	max
1	41732233	1213198751	29.07	0	18633
2	47849963	1398562202	29.23	0	11964
3	50382502	1391031541	27.61	0	10437
4	39677845	1098479646	27.68	0	5284
5	46702114	1376140960	29.47	0	9940
6	36371416	1124361136	30.91	0	5925
7	35460007	1322863384	37.31	0	22852
8	40988899	1068539724	26.07	0	7226
9	56381885	1693112661	30.03	0	5840
ML552055	47661	69470	1.46	0	21
ML552056	46909	812512	17.32	0	115
ML552057	40232	9667710	240.30	0	9348
ML552058	28202	4121390	146.14	0	3270
ML552059	21634	586629	27.12	0	525
total	395731502	11701547716	29.57	0	22852
