chrom	length	bases	mean	min	max
1	41732233	1750934755	41.96	0	30486
2	47849963	1873088185	39.15	0	8217
3	50382502	1853763128	36.79	0	9061
4	39677845	1507550334	37.99	0	8437
5	46702114	1913397415	40.97	0	21664
6	36371416	1407521398	38.70	0	23750
7	35460007	1631412126	46.01	0	13449
8	40988899	1412531111	34.46	0	8784
9	56381885	2463016752	43.68	0	9440
ML552055	47661	138632	2.91	0	39
ML552056	46909	1834162	39.10	0	403
ML552057	40232	6434901	159.94	0	5580
ML552058	28202	2700565	95.76	0	1773
ML552059	21634	664034	30.69	0	971
total	395731502	15824987498	39.99	0	30486
