chrom	length	bases	mean	min	max
1	41732233	1519577001	36.41	0	19285
2	47849963	1625227001	33.97	0	7529
3	50382502	1631140273	32.38	0	7816
4	39677845	1297794333	32.71	0	7245
5	46702114	1637320070	35.06	0	17447
6	36371416	1240276818	34.10	0	26567
7	35460007	1561393389	44.03	0	16578
8	40988899	1248738424	30.47	0	7635
9	56381885	2120745858	37.61	0	8130
ML552055	47661	118163	2.48	0	42
ML552056	46909	1046041	22.30	0	171
ML552057	40232	3152468	78.36	0	1976
ML552058	28202	4286536	151.99	0	3049
ML552059	21634	465854	21.53	0	715
total	395731502	13891282229	35.10	0	26567
