chrom	length	bases	mean	min	max
1	41732233	1711546611	41.01	0	24967
2	47849963	1907486367	39.86	0	5312
3	50382502	1983851132	39.38	0	10104
4	39677845	1455444787	36.68	0	5081
5	46702114	1826175921	39.10	0	18750
6	36371416	1356186002	37.29	0	12013
7	35460007	1580924673	44.58	0	15073
8	40988899	1423430519	34.73	0	6021
9	56381885	2376018939	42.14	0	6042
ML552055	47661	137889	2.89	0	43
ML552056	46909	1095176	23.35	0	138
ML552057	40232	5790781	143.93	0	6236
ML552058	28202	2504028	88.79	0	1813
ML552059	21634	583721	26.98	0	860
total	395731502	15631176546	39.50	0	24967
