chrom	length	bases	mean	min	max
1	41732233	1463948633	35.08	0	27197
2	47849963	1630988593	34.09	0	8519
3	50382502	1579297112	31.35	0	5248
4	39677845	1234805289	31.12	0	5671
5	46702114	1578047358	33.79	0	11188
6	36371416	1096984020	30.16	0	6073
7	35460007	1326927601	37.42	0	5673
8	40988899	1204313786	29.38	0	5819
9	56381885	2029575380	36.00	0	6335
ML552055	47661	133428	2.80	0	47
ML552056	46909	1018703	21.72	0	153
ML552057	40232	10925490	271.56	0	12734
ML552058	28202	1311171	46.49	0	1013
ML552059	21634	452445	20.91	0	540
total	395731502	13158729009	33.25	0	27197
