chrom	length	bases	mean	min	max
1	41732233	1659538887	39.77	0	6965
2	47849963	1870570125	39.09	0	13102
3	50382502	1768794360	35.11	0	8253
4	39677845	1468106116	37.00	0	8457
5	46702114	1791549322	38.36	0	15764
6	36371416	1272822187	35.00	0	9146
7	35460007	1543699066	43.53	0	26772
8	40988899	1352010277	32.98	0	8351
9	56381885	2321537575	41.18	0	9151
ML552055	47661	136823	2.87	0	43
ML552056	46909	1736654	37.02	0	381
ML552057	40232	2886918	71.76	0	877
ML552058	28202	1928479	68.38	0	1436
ML552059	21634	528129	24.41	0	460
total	395731502	15055844918	38.05	0	26772
