chrom	length	bases	mean	min	max
1	41732233	1556618246	37.30	0	28925
2	47849963	1757524990	36.73	0	20506
3	50382502	1688427324	33.51	0	12308
4	39677845	1343755458	33.87	0	4405
5	46702114	1672637316	35.82	0	22333
6	36371416	1341343036	36.88	0	15542
7	35460007	1516944057	42.78	0	28197
8	40988899	1368540802	33.39	0	8469
9	56381885	2099491868	37.24	0	4999
ML552055	47661	122904	2.58	0	44
ML552056	46909	1552254	33.09	0	314
ML552057	40232	4143686	102.99	0	2125
ML552058	28202	3274203	116.10	0	2432
ML552059	21634	1002326	46.33	0	1536
total	395731502	14355378470	36.28	0	28925
