chrom	length	bases	mean	min	max
1	41732233	1835828071	43.99	0	19952
2	47849963	1978336725	41.34	0	6332
3	50382502	1950321120	38.71	0	8900
4	39677845	1568624430	39.53	0	7843
5	46702114	1982561156	42.45	0	19037
6	36371416	1460487451	40.15	0	22522
7	35460007	1706808011	48.13	0	16578
8	40988899	1520261747	37.09	0	8477
9	56381885	2549594270	45.22	0	8180
ML552055	47661	140243	2.94	0	36
ML552056	46909	1352773	28.84	0	228
ML552057	40232	8393562	208.63	0	10824
ML552058	28202	2376954	84.28	0	1792
ML552059	21634	556666	25.73	0	834
total	395731502	16565643179	41.86	0	22522
